X,Y,token
3.4735353,8.331236,brunswick
27.783714,5.695955,square
0.89926,17.544622,circumstance
19.453438,-0.8015999,animated
12.081778,11.516578,inquiries
-11.623154,-5.7879195,answered
0.4076971,2.7351108,gratefully
-28.131752,7.9680853,observed
7.10253,25.377096,come
0.5602982,2.742966,out
1.3061256,-14.5068,call
-15.019991,-8.982729,afraid
0.08970221,24.042261,shocking
12.428798,-22.946,sir
13.449522,-25.414616,beautiful
-9.004328,-6.1378613,moonlight
-2.728588,-21.392725,mild
-16.15987,5.488707,draw
-8.993765,-10.992609,back
16.833725,12.716366,fire
15.3238735,17.714788,found
-12.010666,6.886556,damp
3.4625065,8.341706,dirty
13.728718,8.67421,catch
18.879726,-11.463271,cold
-3.2561398,-2.726493,look
5.5259953,1.3595796,shoes
17.52846,0.30456647,quite
-0.7313021,17.699104,surprising
11.365059,8.563924,vast
-11.458833,-7.18552,deal
-2.8488102,-18.31579,rain
-9.159458,10.335867,rained
-8.412775,8.056955,dreadfully
-3.9124236,17.775902,hard
-7.673705,22.237236,breakfast
-5.8843017,6.0258055,wanted
23.9132,0.5781226,bye
8.871222,-20.546152,joy
27.619259,2.2574673,sort
-2.5589476,3.6010602,feeling
14.323441,9.977528,hurry
19.90977,-20.460644,hope
-4.577197,-30.587395,went
23.185732,17.668741,behave
-21.547052,7.94953,cried
-28.039387,8.1306505,ah
11.328659,9.132001,tis
-3.0257208,-12.352156,business
12.774532,-14.445093,mr
-1.0122161,-5.7945538,miss_woodhouse
-15.219799,9.983896,please
24.253693,-14.721051,possibly
18.236639,-0.52365696,.'
-6.1779943,-10.044284,regard
10.598335,5.019627,comes
-1.4468445,4.1636734,question
10.530845,6.1302185,dependence
-21.978601,-0.58759904,independence
-6.2968974,-14.962058,rate
29.058874,-6.656492,better
-27.489758,-2.048033,especially
-13.8815975,-0.9022826,those
-23.522879,18.673307,fanciful
-5.1379876,14.483894,troublesome
-4.642694,-0.49691734,creature
-10.214913,14.317955,head
5.9913497,-16.64219,certainly
6.176142,3.664692,believe
4.0207825,-19.362648,","""
-4.796528,-23.116886,sometimes
-16.561934,-9.452574,dearest
12.181805,1.6351061,mean
9.298637,-6.594302,_you_
18.2146,-2.3582432,horrible
-16.48848,-6.5307293,idea
1.3506088,-10.570698,oh
8.353251,15.4908495,meant
5.3816943,-25.627583,myself
-19.564657,1.3625267,loves
17.780016,-26.41962,joke
-8.618628,-6.099486,another
1.5348316,4.260439,fact
-11.457891,6.8558793,faults
-0.9121271,19.44762,told
-6.435618,14.719221,agreeable
8.169656,-6.8849535,knew
-27.804909,-13.6060505,suspect
-15.542865,5.87195,knows
-19.248276,-14.239631,flatter
-7.495286,2.7707443,reflection
12.465897,4.45493,has
3.8396575,3.8067377,persons
-12.131084,-4.1782017,chances
-7.744435,4.918701,willing
7.207833,-5.049648,let
-6.9444003,10.144603,pass
8.247231,-12.68619,"--"""
-11.148979,14.675557,hear
-22.87186,0.15880914,behaved
15.6880665,28.737679,punctual
-10.725555,-5.9127374,looks
-22.399837,7.3102446,tear
-13.45393,20.72846,face
7.1152306,-13.613178,seen
20.346973,-2.3978148,apart
4.498266,3.8306932,bears
12.213554,3.5925782,sorry
0.68691146,-3.6913483,lose
-6.282543,-5.3295336,miss
-8.107323,-22.906082,thinks
4.519323,14.671358,turned
7.961618,-6.2862287,divided
-15.464642,-26.33525,tears
-7.6861763,-9.377701,smiles
5.702906,-23.114843,should
-5.5033298,-31.840298,acceptable
-7.298378,17.045805,important
1.5318822,15.488381,secure
13.963643,-4.150479,provision
-5.9493885,-11.279872,therefore
10.857603,-1.5512516,allow
3.082427,22.983948,pain
-2.7662315,12.33649,happily
3.3915627,-8.152583,forgotten
-12.452447,3.162761,matter
-2.2184186,26.622349,considerable
-9.110414,-16.84882,four
7.834179,22.83432,years_ago
13.093441,-5.9119396,proved
11.663247,5.9988794,marry
-8.538553,17.370327,shook
-6.8058257,4.7990503,fondly
27.100351,13.029476,replied
20.941618,14.030527,matches
-22.061089,-1.4231095,whatever
10.892818,12.72704,pray
-8.754229,16.375547,none
-9.072285,-2.6059148,greatest
-15.439268,-14.119511,amusement
-28.73646,0.95514363,success
-10.420212,6.171172,perfectly
20.692133,2.8166816,constantly
-23.491768,8.456384,occupied
-2.4315877,-16.065771,either
-23.495224,6.475795,friends
23.625221,-21.494665,wherever
20.870829,-6.7489605,need
-8.766648,-14.956271,spend
-14.711903,-15.824306,single
-12.193269,-3.2602775,year
-12.519128,-8.527546,alone
-0.06373935,23.976358,others
12.861914,-30.294247,son
-6.5446124,23.764668,uncle
18.732203,-2.347212,letting
-24.927053,10.206162,solemn
8.3861065,-19.858091,nonsense
-11.735108,9.443127,subject
-9.892673,6.850576,believed
5.7236824,2.1925662,since
-5.601753,2.9793892,met
-27.741713,-4.797185,broadway
-19.945398,-10.263807,lane
7.1703978,0.48423684,began
-8.605234,17.34603,darted
19.271912,-20.437653,gallantry
4.2106485,16.861948,borrowed
-2.6635094,0.60721,farmer
24.132433,13.76005,planned
-4.5509024,15.353515,blessed
-17.152834,24.279772,instance
-0.25026354,-14.207873,leave
-2.1635218,4.6601167,making
6.0550385,15.93075,understand
2.1506562,-22.812298,endeavour
14.937647,9.700132,properly
-3.6444979,-15.369539,endeavouring
-12.630173,0.21703637,bring
-15.287528,1.0442525,worthy
-0.6471183,-2.544439,employment
-13.19701,-9.576468,young
10.3320055,-5.600197,lady
-3.4741666,-18.35532,imagine
5.5524726,-15.706646,saying
12.798302,-10.135769,yourself
-7.725566,-2.8928642,idle
7.1394396,4.4146323,",'"
-14.0035095,-4.503855,why
-19.405817,11.036763,talk
2.3861341,16.982864,merit
15.705615,0.72256285,proud
16.2288,-20.87093,guess
17.736393,7.216109,_that_
22.8256,-12.53949,can
-27.56666,-10.243586,known
-5.43896,-19.978926,triumph
-16.909195,14.364168,depend
-3.838181,0.59146017,merely
13.8477745,-8.721765,luck
-19.322836,10.908756,talent
-0.47767317,-14.261722,word
13.224177,-1.4635593,quarrel
12.104254,7.3626304,claim
-0.82814246,19.522232,drawn
4.0320745,-12.476951,pictures
0.865523,-1.292257,something
-7.6499367,9.367831,nothing
4.026322,29.876837,visits
-3.4462025,20.165258,given
-18.145508,-16.06754,matters
-1.9717753,15.2395735,enough
1.944815,2.273219,comprehend
5.5660844,-13.505335,open
-8.03607,3.3567502,hearted
-10.690676,-9.945677,weston
5.6360703,8.986102,unaffected
2.1608622,-14.034425,safely
11.271991,7.068266,manage
12.603468,-20.804228,likely
-0.92895675,0.52537227,harm
-25.339922,4.3412824,interference
12.019784,1.5613804,rejoined
2.217056,19.961937,understanding
-28.86321,-6.721347,silly
-8.848329,-27.136734,break
