X,Y,token
6.4720736,21.360065,sad
-10.448761,7.019417,thing
-12.986374,14.245855,deal
-18.35656,13.159036,happier
17.328476,14.891566,if
2.097181,27.259684,spent
-0.6538264,-2.601032,rest
8.609558,21.633907,smiled
-16.076473,11.32678,cheerfully
-10.378951,-7.152449,keep
-4.2851205,-3.2192938,thoughts
5.7881255,29.77481,tea
-19.503893,8.872082,say
-3.9994416,11.428391,exactly
14.124169,23.467096,said
13.950584,23.237867,""""
-22.68779,4.3304563,Poor
-21.428078,7.8000093,!--
-24.14182,1.4046062,What
-16.359005,11.96082,pity
-0.8885166,9.339981,is
-24.286142,7.995201,"!"""
-23.798996,13.096725,cannot
-18.935425,10.181356,agree
-17.139444,3.2930574,you
-21.037306,8.153908,papa
-20.076899,10.559989,know
-18.595716,8.575263,good
-7.753869,14.677863,humoured
-13.246491,16.957533,thoroughly
-17.040665,10.161085,deserves
-15.644388,-27.412952,wife
-14.773288,17.129446,;--
-14.383793,-5.639822,live
-16.451387,2.045521,us
-17.462614,3.7589927,my
-18.006983,7.6525927,odd
-24.096325,13.973539,might
-22.054552,7.8352613,"?"""
-17.205042,-1.5413282,But
15.596101,-4.662061,where
-11.923879,21.288546,advantage
-22.102194,7.8165145,?
-11.28876,7.141794,This
3.5262308,-10.128234,three
2.7501035,-9.016329,times
-17.182026,-1.5485615,And
-22.878796,6.030864,dear
16.371145,13.452721,"."""
-2.399834,8.797113,often
-16.606092,2.6648443,we
-23.982084,13.063418,shall
-20.21084,10.615572,see
-14.420406,4.1281066,coming
-16.60892,2.7939525,We
0.5011736,25.761423,meeting
-24.312908,8.005657,!
-15.715282,7.4946504,begin
-15.687485,4.286601,go
-14.980463,9.33075,pay
-22.657312,0.6815456,My
-23.15569,7.634077,am
-15.709461,4.2914877,get
11.350224,9.195115,far
1.3005617,27.581112,Randalls
16.315447,-2.771692,distance
-10.181033,-7.182454,walk
-23.41621,5.1119084,No
-18.907856,11.446835,nobody
-17.47843,3.6667163,your
10.652815,9.492502,walking
3.713069,25.312372,carriage
-21.986917,12.769098,sure
-13.409537,-27.055607,James
-23.94773,13.099874,will
18.596388,2.8769577,like
-1.4056257,-8.644139,put
7.1519656,-28.577852,horses
12.745844,9.681354,are
-18.834978,6.098649,poor
11.745582,9.333158,while
-0.6690843,26.695923,paying
-16.442793,2.0345356,our
-16.431961,2.7486622,They
27.925577,11.618662,into
17.81664,7.9219565,stable
-16.940487,3.1153996,You
-0.07894773,17.481737,already
5.417853,22.341646,talked
7.839266,18.436518,night
-23.918673,13.218763,may
-8.265636,4.667211,because
-12.4884,13.703363,doubt
-11.7033825,9.644055,whether
-16.209644,0.1302604,take
-18.53498,11.447663,anywhere
-18.626081,11.867227,else
-21.555819,-6.0564675,That
18.038393,18.219088,got
-11.134976,-25.10825,Hannah
-18.974892,11.171065,Nobody
-2.5356724,27.959837,mentioned
-22.014395,12.870244,glad
-15.861466,8.984535,lucky
-12.243652,19.910473,slighted
